date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:28	19259/19259	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:26%20GMT	https://preview.colorlib.com/theme/boxe/index.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/index.html	(from )
21:39:28	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
21:39:29	788/788	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/boxe/img/xfavicon.png.pagespeed.ic.4ol6gLfWzM.png	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/img/xfavicon.png.pagespeed.ic.4ol6gLfWzM.png	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:29	194102/194102	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/boxe/css/bootstrap.min.css+animate.css+owl.carousel.min.css+themify-icons.css+flaticon.css+slick.css+nice-select.css+all.css+intlInputPhone.min.css.pagespeed.cc.WNqLfgNLMY.css	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/css/bootstrap.min.css+animate.css+owl.carousel.min.css+themify-icons.css+flaticon.css+slick.css+nice-select.css+all.css+intlInputPhone.min.css.pagespeed.cc.WNqLfgNLMY.css	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:30	175909/175909	---MCZ	200	added ('OK')	text/css	etag:W/%222af25-5c1f9aa5831f6%22	https://preview.colorlib.com/theme/boxe/css/style.css	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/css/style.css	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:30	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2026%20Apr%202022%2014:39:28%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/hp/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:31	1872/1872	---M--	200	added ('OK')	image/png	etag:%22750-58a5f97fcb300%22	https://preview.colorlib.com/theme/boxe/img/logo.png	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/img/logo.png	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:31	16084/16084	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:29%20GMT	https://preview.colorlib.com/theme/boxe/about.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/about.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:31	12586/12586	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:30%20GMT	https://preview.colorlib.com/theme/boxe/service.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/service.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:32	12605/12605	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:30%20GMT	https://preview.colorlib.com/theme/boxe/delivery.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/delivery.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:32	16477/16477	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:30%20GMT	https://preview.colorlib.com/theme/boxe/blog.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/blog.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:32	20233/20233	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:31%20GMT	https://preview.colorlib.com/theme/boxe/single-blog.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/single-blog.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:33	32511/32511	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:31%20GMT	https://preview.colorlib.com/theme/boxe/elements.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/elements.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:33	12018/12018	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2014:39:31%20GMT	https://preview.colorlib.com/theme/boxe/contact.html	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/contact.html	(from https://preview.colorlib.com/theme/boxe/index.html)
21:39:33	880/880	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22370-58a5fa4aed240%22	https://preview.colorlib.com/theme/boxe/img/icon/right-arrow.svg	C:/My%20Web%20Sites/hp/preview.colorlib.com/theme/boxe/img/icon/right-arrow.svg	(from https://preview.colorlib.com/theme/boxe/index.html)
